station_id,lat,lon,PM2.5,i,j,wrf1h,les,dl
3272A,31.0378,121.2186,13.0,4,6,24.63104843018142,24.63104843018142,24.63104843018142
3271A,31.1663,121.2886,13.0,4,7,26.633617754042508,20.918137011240923,21.314126367950674
3268A,31.2838,121.3162,18.0,4,9,26.128796292168516,20.57827658049768,18.352107886916144
3269A,30.7456,121.3359,15.0,5,2,26.84144628040577,26.84144628040577,26.84144628040577
99306,31.1654,121.412,13.0,5,7,24.034329208115757,23.348436482231445,21.64795667223206
3273A,31.2059,121.3902,18.0,5,8,25.624625460298958,18.774717418389944,19.901473682910122
99298,31.238,121.4,18.0,5,8,24.41348695182196,22.600234732805497,22.277503557382264
99301,31.2261,121.425,13.0,5,8,23.10710945655908,23.86271097910096,24.079360354008653
99300,31.3008,121.467,18.0,5,9,25.592742721489298,25.592742721489298,25.592742721489298
3265A,31.3322,121.4316,18.0,5,10,26.945849581511354,26.945849581511354,26.945849581511354
3544A,30.925,121.4891,12.0,6,4,27.45091136874757,18.87597307368059,20.485954142540983
3270A,31.0739,121.4996,15.0,6,6,21.94924810057725,19.32982008728901,19.08113976107951
99299,31.2036,121.478,18.0,6,8,24.261541051949187,24.261541051949187,24.261541051949187
99303,31.2284,121.533,18.0,6,8,19.697199415304283,19.35820081533697,17.033389338595338
99307,31.2659,121.536,10.0,6,9,20.428410009431,13.751482610051355,12.639456365210656
99302,31.1907,121.703,28.0,7,8,19.768893421426284,19.853545702080982,16.876407945195194
